Tabelle: 46241-0006
Unfälle mit Personenschaden, Verunglückte: Deutschland,;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Monate, Unfalltyp/Unfallart, Ortslage, Schwere der;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Verletzung;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Statistik der Straßenverkehrsunfälle;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;2025;;;;;;;;;;;;2026;;;;;;;;;;;
;;;;;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember;Januar;Februar;März;April;Mai;Juni;Juli;August;September;Oktober;November;Dezember
;;;Verunglückte;Anzahl;31;31;44;30;21;43;40;44;40;37;44;42;21;...;...;...;...;...;...;...;...;...;...;...
;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;2;-;1;1;-;-;-;-;-;-;-;1;-;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;2;-;1;1;-;-;-;-;-;-;-;1;-;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;3;1;1;-;-;-;-;-;-;-;-;-;1;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;3;1;1;-;-;-;-;-;-;-;-;-;1;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;-;2;2;2;1;1;2;-;1;-;4;-;1;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;-;2;2;3;1;1;2;-;1;-;4;-;1;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;5;3;4;3;1;1;2;-;1;-;4;1;2;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;5;3;4;4;1;1;2;-;1;-;4;1;2;...;...;...;...;...;...;...;...;...;...;...
;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;30;14;18;12;13;15;14;15;12;23;28;30;17;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;30;14;18;12;13;16;14;15;12;23;28;30;17;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;275;199;210;202;198;220;170;152;229;202;242;240;185;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;279;204;217;204;200;224;176;156;233;204;247;244;192;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;849;666;767;772;799;767;758;639;731;757;926;776;666;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;956;749;875;904;946;916;961;754;846;872;1060;880;733;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;1154;879;995;986;1010;1002;942;806;972;982;1196;1046;868;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;1265;967;1110;1120;1159;1156;1151;925;1091;1099;1335;1154;942;...;...;...;...;...;...;...;...;...;...;...
Unfall durch ruhenden Verkehr;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;-;2;1;2;2;3;2;6;4;-;1;3;-;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;-;2;1;2;2;3;2;6;4;-;1;3;-;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;57;44;78;91;85;111;96;73;87;65;61;57;25;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;61;45;85;96;88;118;103;75;88;66;65;58;25;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;568;482;673;765;882;982;918;844;856;721;646;578;377;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;651;538;771;858;993;1050;1023;923;944;792;700;645;412;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;625;528;752;858;969;1096;1016;923;947;786;708;638;402;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;712;585;857;956;1083;1171;1128;1004;1036;858;766;706;437;...;...;...;...;...;...;...;...;...;...;...
;außerorts (ohne Autobahnen);Getötete;Unfälle mit Personenschaden;Anzahl;-;-;-;-;-;-;-;1;1;-;2;-;-;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;-;-;-;-;-;-;-;1;1;-;2;-;-;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;4;3;4;3;6;8;6;11;4;6;10;2;3;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;4;3;4;5;7;8;6;12;4;6;11;2;3;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;21;13;25;15;22;23;24;21;26;29;24;14;20;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;28;17;36;18;29;30;38;31;41;46;37;21;28;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;25;16;29;18;28;31;30;33;31;35;36;16;23;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;32;20;40;23;36;38;44;44;46;52;50;23;31;...;...;...;...;...;...;...;...;...;...;...
;auf Autobahnen;Getötete;Unfälle mit Personenschaden;Anzahl;1;-;-;-;-;-;-;1;2;1;-;1;-;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;1;-;-;-;-;-;-;1;2;1;-;1;-;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;1;2;3;3;1;1;-;1;4;1;2;0;-;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;1;2;3;6;2;1;-;1;5;2;2;1;-;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;3;3;8;2;3;9;7;2;3;3;10;5;2;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;4;11;13;5;4;12;20;5;4;6;19;6;2;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;5;5;11;5;4;10;7;4;9;5;12;6;2;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;6;13;16;11;6;13;20;7;11;9;21;8;2;...;...;...;...;...;...;...;...;...;...;...
;Insgesamt;Getötete;Unfälle mit Personenschaden;Anzahl;1;2;1;2;2;3;2;8;7;1;3;4;-;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;1;2;1;2;2;3;2;8;7;1;3;4;-;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;62;49;85;97;92;120;102;85;95;72;73;59;28;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;66;50;92;107;97;127;109;88;97;74;78;61;28;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;592;498;706;782;907;1014;949;867;885;753;680;597;399;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;683;566;820;881;1026;1092;1081;959;989;844;756;672;442;...;...;...;...;...;...;...;...;...;...;...
;;Insgesamt;Unfälle mit Personenschaden;Anzahl;655;549;792;881;1001;1137;1053;960;987;826;756;660;427;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;750;618;913;990;1125;1222;1192;1055;1093;919;837;737;470;...;...;...;...;...;...;...;...;...;...;...
Unfall im Längsverkehr;innerorts;Getötete;Unfälle mit Personenschaden;Anzahl;7;3;4;5;8;8;7;10;6;4;6;5;3;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;7;3;4;5;9;8;8;11;6;4;6;5;3;...;...;...;...;...;...;...;...;...;...;...
;;Schwerverletzte;Unfälle mit Personenschaden;Anzahl;144;100;203;262;304;298;320;305;255;188;163;142;91;...;...;...;...;...;...;...;...;...;...;...
;;;Verunglückte;Anzahl;158;111;232;281;329;330;348;333;288;202;180;152;98;...;...;...;...;...;...;...;...;...;...;...
;;Leichtverletzte;Unfälle mit Personenschaden;Anzahl;2085;1921;2804;3047;3279;3450;3479;3117;3261;2889;2521;2169;1761;...;...;...;...;...;...;...;...;...;...;...
