OBJECTID;UIDENTSTLAE;ULAND;UREGBEZ;UKREIS;UGEMEINDE;UJAHR;UMONAT;USTUNDE;UWOCHENTAG;UKATEGORIE;UART;UTYP1;ULICHTVERH;USTRZUSTAND;IstRad;IstPKW;IstFuss;IstKrad;IstGkfz;IstSonstige;LINREFX;LINREFY;XGCSWGS84;YGCSWGS84
147;01210410161013512021;01;0;62;022;2021;04;17;7;3;0;7;0;0;0;0;0;1;0;0;588871.540433292277157;5942536.876470632851124;10.343751373000032;53.624078143000077
148;01210415171013652021;01;0;60;044;2021;04;20;5;3;5;3;0;0;1;0;0;0;0;0;562912.970170543529093;5965886.921438742429018;9.956075599000030;53.837689150000074
149;01210505145013742021;01;0;58;135;2021;05;15;4;3;2;2;0;1;0;1;0;0;0;0;541187.706725672818720;6018167.745768319815397;9.633057326000028;54.309727082000052
150;01210205134013792021;01;0;57;007;2021;02;11;6;2;5;3;0;1;0;1;0;0;1;0;609235.565881597809494;6017616.235121417790651;10.678412996000077;54.294753257000082
151;01210215105132642021;01;0;53;037;2021;02;20;2;3;3;1;2;2;0;1;0;0;1;1;611800.700866019353271;5934752.502020381391048;10.687506039000027;53.549745426000072
152;01210609125013352021;01;0;59;018;2021;06;13;4;3;0;7;0;0;1;0;0;0;0;0;535757.406000001356006;6039252.626999819651246;9.552137309000045;54.499623755000073
153;01210601161013512021;01;0;53;032;2021;06;08;3;3;0;3;0;0;1;1;0;0;0;0;591099.363000018522143;5922357.425999747589231;10.371552795000071;53.442362101000072
154;01210526152013372021;01;0;55;033;2021;05;16;4;3;6;3;0;0;0;1;1;0;0;0;624025.900699406862259;6017693.248589590191841;10.905568791000064;54.292069686000048
155;01210530134013912021;01;0;02;000;2021;05;12;1;2;0;7;0;0;1;0;0;0;0;0;573662.925905659794807;6019562.358793135732412;10.132463209000036;54.318607289000056
156;01210326171013272021;01;0;56;041;2021;03;09;6;2;0;6;0;0;0;0;0;0;0;1;563819.741000003181398;5954698.802999766543508;9.967537081000046;53.737031481000031
157;01210403161013552021;01;0;53;020;2021;04;09;7;3;6;7;0;0;0;1;1;0;0;0;607591.540078540332615;5926467.093090441077948;10.621157579000055;53.476180007000039
158;01210129145013202021;01;0;58;080;2021;01;12;6;3;5;3;0;0;0;1;0;0;0;1;555397.974000000394881;6028082.508999815210700;9.853290761000039;54.397481319000065
